Percentage,Quarter
0.774432010851136,2019-03-01
0.775520110957004,2018-12-01
0.774953502789833,2018-09-01
0.776628885795718,2018-06-01
0.776074641786071,2018-03-01
0.780141366543251,2017-12-01
0.785832187070151,2017-09-01
0.796620318009447,2017-06-01
0.787680638200484,2017-03-01
0.808945861175508,2016-12-01
0.811206427015251,2016-09-01
0.806842528119979,2016-06-01
0.8028985507246377,2016-03-01
0.8198791872597474,2015-12-01
0.8056930693069307,2015-09-01
0.7983160110511774,2015-06-01
0.7926614215952251,2015-03-01
0.7982264665757163,2014-12-01
0.7899400027905679,2014-09-01
0.7857764682247371,2014-06-01
0.7615698881521666,2014-03-01
0.7741350446428571,2013-12-01
0.76397390193045,2013-09-01
0.7678751894896413,2013-06-01
0.7567343819652296,2013-03-01
0.7569503779165297,2012-12-01
0.7391473118975221,2012-09-01
0.7238207857049008,2012-06-01
0.7017412469574986,2011-09-01
