Quarter,06 months,12 months
2011-09-01,0.7017412469574986,0.8998671337118009
2012-06-01,0.7238207857049008,0.9064055541000786
2012-09-01,0.7391473118975221,0.9069636135508156
2012-12-01,0.7569503779165297,0.9172341540073337
2013-03-01,0.7567343819652296,0.9273861589915101
2013-06-01,0.7678751894896413,0.9270669806384092
2013-09-01,0.76397390193045,0.9351975144252108
2013-12-01,0.7741350446428571,0.9377749842866122
2014-03-01,0.7615698881521666,0.9378086213799546
2014-06-01,0.7857764682247371,0.9406920415224913
2014-09-01,0.7899400027905679,0.940574995020251
2014-12-01,0.7982264665757163,0.9432203953937296
2015-03-01,0.7926614215952251,0.9457048001106654
2015-06-01,0.7983160110511774,0.9466855868639773
2015-09-01,0.8056930693069307,0.9447029469283161
2015-12-01,0.8198791872597474,0.9458544839255499
2016-03-01,0.8028985507246377,0.9486499353873359
2016-06-01,0.806842528119979,0.9502271648470876
2016-09-01,0.811206427015251,0.943202295935393
2016-12-01,0.808945861175508,0.942496679946879
2017-03-01,0.787680638200484,0.944279546681058
2017-06-01,0.796620318009447,0.940497874924104
2017-09-01,0.785832187070151,0.934902418465927
2017-12-01,0.780141366543251,0.936547721126575
2018-03-01,0.776074641786071,0.935753620232511
2018-06-01,0.776628885795718,0.931013757179111
2018-09-01,0.774953502789833,0.930744807514222
2018-12-01,0.775520110957004,0.929705959569441
2019-03-01,0.774432010851136,0.919929189078777
